"COUNTRY" "NUTS_ID" "YEAR" "AVG_2003_2010" "STD_ANOMALY"
"Austria" "AT112" "2011" 22.9252308669364 -0.393893699986169
"Austria" "AT112" "2012" 22.9252308669364 1.03900898241364
"Austria" "AT112" "2013" 22.9252308669364 0.839474353298541
"Austria" "AT112" "2014" 22.9252308669364 -0.0664571076546975
"Austria" "AT112" "2015" 22.9252308669364 1.52677855121681
"Austria" "AT112" "2016" 22.9252308669364 0.0490143256229862
"Austria" "AT112" "2017" 22.9252308669364 1.03319664021092
"Austria" "AT112" "2018" 22.9252308669364 0.931923511064768
"Austria" "AT112" "2019" 22.9252308669364 1.74084229994932
"Austria" "AT124" "2011" 19.6064678312596 -0.166741812537417
"Austria" "AT124" "2012" 19.6064678312596 0.120983513796312
"Austria" "AT124" "2013" 19.6064678312596 0.505791384986217
"Austria" "AT124" "2014" 19.6064678312596 -0.274672306403393
"Austria" "AT124" "2015" 19.6064678312596 2.20897618476363
"Austria" "AT124" "2016" 19.6064678312596 0.105007031839186
"Austria" "AT124" "2017" 19.6064678312596 1.0960179894768
"Austria" "AT124" "2018" 19.6064678312596 0.989625277866228
"Austria" "AT124" "2019" 19.6064678312596 1.73951961191934
"Austria" "AT126" "2011" 22.2665259397807 -0.461118343697303
"Austria" "AT126" "2012" 22.2665259397807 0.853521194239783
"Austria" "AT126" "2013" 22.2665259397807 0.263372970790004
"Austria" "AT126" "2014" 22.2665259397807 0.0219225375291114
"Austria" "AT126" "2015" 22.2665259397807 1.97982686307509
"Austria" "AT126" "2016" 22.2665259397807 -0.206101666903818
"Austria" "AT126" "2017" 22.2665259397807 1.14847705364006
"Austria" "AT126" "2018" 22.2665259397807 1.41481449653838
"Austria" "AT126" "2019" 22.2665259397807 1.55156163809049
"Austria" "AT127" "2011" 22.5207467267642 -0.492282979940088
"Austria" "AT127" "2012" 22.5207467267642 0.954402235075184
"Austria" "AT127" "2013" 22.5207467267642 0.41727084550076
"Austria" "AT127" "2014" 22.5207467267642 -0.316120344791321
"Austria" "AT127" "2015" 22.5207467267642 1.82048592853561
"Austria" "AT127" "2016" 22.5207467267642 -0.254643782106481
"Austria" "AT127" "2017" 22.5207467267642 0.767839555768705
"Austria" "AT127" "2018" 22.5207467267642 0.976657915497253
"Austria" "AT127" "2019" 22.5207467267642 1.92517867320505
"Austria" "AT130" "2011" 23.5719292633262 -0.562948250813521
"Austria" "AT130" "2012" 23.5719292633262 0.826665619518181
"Austria" "AT130" "2013" 23.5719292633262 0.398827182890686
"Austria" "AT130" "2014" 23.5719292633262 0.00496336911572483
"Austria" "AT130" "2015" 23.5719292633262 2.15126899139211
"Austria" "AT130" "2016" 23.5719292633262 -0.0067536960757232
"Austria" "AT130" "2017" 23.5719292633262 0.896082829277294
"Austria" "AT130" "2018" 23.5719292633262 1.04635257006089
"Austria" "AT130" "2019" 23.5719292633262 1.77342840008806
"Bulgaria" "BG311" "2011" 23.4506138038637 0.33846648447648
"Bulgaria" "BG311" "2012" 23.4506138038637 2.01727331345749
"Bulgaria" "BG311" "2013" 23.4506138038637 0.477198843801043
"Bulgaria" "BG311" "2014" 23.4506138038637 -0.776786825963922
"Bulgaria" "BG311" "2015" 23.4506138038637 0.932456544431956
"Bulgaria" "BG311" "2016" 23.4506138038637 -0.0562901009775129
"Bulgaria" "BG311" "2017" 23.4506138038637 1.17198073917663
"Bulgaria" "BG311" "2018" 23.4506138038637 -0.525830719787038
"Bulgaria" "BG311" "2019" 23.4506138038637 0.325204357979857
"Bulgaria" "BG312" "2011" 23.6431939735591 0.105001856199816
"Bulgaria" "BG312" "2012" 23.6431939735591 1.8460607800381
"Bulgaria" "BG312" "2013" 23.6431939735591 0.433073453427532
"Bulgaria" "BG312" "2014" 23.6431939735591 -0.816252204345043
"Bulgaria" "BG312" "2015" 23.6431939735591 0.421018196337243
"Bulgaria" "BG312" "2016" 23.6431939735591 0.1813306420141
"Bulgaria" "BG312" "2017" 23.6431939735591 1.05001824224457
"Bulgaria" "BG312" "2018" 23.6431939735591 -0.594175250872739
"Bulgaria" "BG312" "2019" 23.6431939735591 0.745949298513139
"Bulgaria" "BG341" "2011" 24.012686512232 -0.36157961322383
"Bulgaria" "BG341" "2012" 24.012686512232 1.2244751638829
"Bulgaria" "BG341" "2013" 24.012686512232 0.215354183038786
"Bulgaria" "BG341" "2014" 24.012686512232 -0.612023151842491
"Bulgaria" "BG341" "2015" 24.012686512232 0.0532006868073392
"Bulgaria" "BG341" "2016" 24.012686512232 0.0058793926972096
"Bulgaria" "BG341" "2017" 24.012686512232 0.378417096380437
"Bulgaria" "BG341" "2018" 24.012686512232 -0.163206737675155
"Bulgaria" "BG341" "2019" 24.012686512232 0.414640342578605
"Bulgaria" "BG411" "2011" 21.7758776380249 0.625058549056851
"Bulgaria" "BG411" "2012" 21.7758776380249 2.65726660773959
"Bulgaria" "BG411" "2013" 21.7758776380249 0.809844329395009
"Bulgaria" "BG411" "2014" 21.7758776380249 -0.77095656559675
"Bulgaria" "BG411" "2015" 21.7758776380249 1.05195505142311
"Bulgaria" "BG411" "2016" 21.7758776380249 0.758227231931606
"Bulgaria" "BG411" "2017" 21.7758776380249 1.42734406203312
"Bulgaria" "BG411" "2018" 21.7758776380249 -0.627289501263107
"Bulgaria" "BG411" "2019" 21.7758776380249 1.3430205149434
"Bulgaria" "BG421" "2011" 23.9305878119926 0.41651339928898
"Bulgaria" "BG421" "2012" 23.9305878119926 1.95645990640027
"Bulgaria" "BG421" "2013" 23.9305878119926 0.620683371202948
